地名,地名ID,英文地名,去过人数,描述,当地top1,当地top2,当地top3
香港,1,Hongkong,40451,香港，英文名为Hong Kong。它是一个充满诱惑感的城市，是全球最富裕、经济最发达和生活水平最高的地区之一，是“亚洲四小龙”之一，是国际金融商贸中心之一，是世界大都会之一，然而除了这散发着金钱味道的“第一”后面，香港还150年惊心动魄的巨变，有着中西合璧的丰富文化，有着一颗容纳种族、语言、地域的包容之心。,香港迪士尼乐园,香港海洋公园,香港太平山顶
北京,2,Beijing,65349,北京，位于华北平原，有着三千余年的建城史和八百五十余年的建都史。北京是中华人民共和国首都、中央直辖市、中国国家中心城市，也是中国政治、文化、教育和国际交流中心。是一座传统与现代交融的城市。这里既有古典风韵，又具时尚气息。,故宫,颐和园,天安门广场
厦门,3,Xiamen,45796,厦门又名鹭岛，是福建省下辖的一个副省级城市，位于福建东南部，闽南地区。厦门市是中华人民共和国15个副省级城市之一，享有省级经济管理权限并拥有地方立法权；既是中国最早实行对外开放政策的四个经济特区之一，又是十个国家综合配套改革试验区之一（即“新特区”）。厦门和金门对望，是大陆距离台湾最近的地方。,厦门大学,鼓浪屿,南普陀寺
上海,4,Shanghai,63559,上海是中国大陆第一大城市；四个中央直辖市之一；是中国大陆的经济、金 融、贸易和航运中心。上海位于中国大陆海岸线中部的长江口。上海是一座极具现代化而又不失中国传统特色的都市。有超过 2000万人居住和生活在上海地区，其中大部分属汉族江浙民系，通行吴语上海话。上海创造和打破了中国世界纪录协会多项世界之最、中国之最。,外滩,田子坊,上海迪士尼乐园
三亚,5,SanYa,33108,三亚市位于海南岛的最南端，因三亚河（古名临川水）有三亚，东西2河至此会合，成“丫”字形，故取名“三亚”，陆地总面积1919.58平方公里，其中规划市区面积约37平方公里。美丽的三亚市是中国通向世界的门户之一，三亚是海南省南部的中心城市和交通通信枢纽，是中国东南沿海对外开放黄金海岸线上最南端的对外贸易重要口岸，三亚拥有亚龙湾、天涯海角游览区、南山文化旅游区、大小洞天风景区、大东海风景区、鹿回头公园、三亚湾风景区、落笔洞游览区及西岛、蜈支洲岛海上乐园等著名景点。,蜈支洲岛,亚龙湾热带天堂森林公园,南山文化旅游区
成都,6,Chengdu,41460,成都位于中国西南地区。地处全川中心，是四川省政治、经济、文化的核心。成都别称“蓉城”，平原沃野千里，依仗都江堰的水利工程，自古以来富足丰饶，拥“天府之国”之美誉。成都的茶馆之多或可称得上世界之最。成都夜生活实在丰富，完全符合“不夜城”的称号。,成都大熊猫繁育研究基地,宽窄巷子,都江堰景区
丽江,7,Lijiang,38370,丽江是一个纳西文化和汉族文化的综合体，位于云南省西北部云贵高原与青藏高原的连接部位。古城内小桥流水，两旁民居建筑布局错落有致，既有高原水城风貌，又有南方水乡韵味。在古城里，只需慢慢闲逛即可，那些古朴的院落民居、条条小巷、青石板路都精致独到。,泸沽湖,丽江古城,玉龙雪山
西安,8,Xi'an,38094,西安是陕西省省会，兼具现代感和历史感，世界四大文明古都（西安、罗马、开罗、雅典）之一。西安历史悠久，文化积淀非常厚重。 西安周围有120多座帝王陵墓围绕，有着“天然历史博物馆”的美誉，兵马俑坑被誉为“世界第八大奇迹”，秦始皇陵为最早列入世界遗产名录的中国遗迹，古城墙也是至今世界上保存最完整、规模最宏大的古城墙遗址。,西安古城墙,秦始皇兵马俑博物馆,陕西历史博物馆
重庆,9,ChongQing,30860,重庆市位于中国内陆西南部、长江上游。重庆四面环山，依山而建，又有长江和嘉陵江在此交汇，别名江城，又称山城。四川盆地东南部，为北京、天津、上海三市总面积的2.39倍，是中国面积最大的城市。重庆别称山城、渝都、雾都、桥都，中华人民共和国直辖市，国家中心城市，长江上游地区经济中心和金融中心。,洪崖洞,武隆天生三桥,磁器口古镇
杭州,10,Hangzhou City,53977,杭州简称杭，位于中国东南沿海北部，“上有天堂、下有苏杭”，表达了古往今来的人们对于这座美丽城市的由衷赞美。“天堂”中不仅有美景，更有无尽的闲情逸致。杭州是中国七大古都之一。杭州不但神秀所钟，风景如画，而且人文旅游资源也极其丰富。历代文人骚客在杭州留下了丰富的历史遗迹和诗书绘画。,杭州西湖,灵隐禅踪(灵隐寺),千岛湖风景区
